Compound,SA03_1(raw),SA06_1(raw),SA09_1(raw),SA12_1(raw),SA17_1(raw),SA22_1(raw),SA25_1(raw),SA28_1(raw),SA31_1(raw),SA34_1(raw),SA37_1(raw),SA40_1(raw),SA43_1(raw),SA46_1(raw),SA49_1(raw),SA52_1(raw),SA57_1(raw),SA62_1(raw),SA71_1(raw),SA77_1(raw),SA86_1(raw),SA95_1(raw),SA98_1(raw),SA101_1(raw),SA02_1(raw),SA05_1(raw),SA08_1(raw),SA11_1(raw),SA16_1(raw),SA21_1(raw),SA24_1(raw),SA27_1(raw),SA30_1(raw),SA33_1(raw),SA36_1(raw),SA39_1(raw),SA42_1(raw),SA45_1(raw),SA48_1(raw),SA51_1(raw),SA56_1(raw),SA61_1(raw),SA70_1(raw),SA76_1(raw),SA85_1(raw),SA94_1(raw),SA97_1(raw),SA100_1(raw),SA01_1(raw),SA04_1(raw),SA07_1(raw),SA10_1(raw),SA15_1(raw),SA20_1(raw),SA23_1(raw),SA26_1(raw),SA29_1(raw),SA32_1(raw),SA35_1(raw),SA38_1(raw),SA41_1(raw),SA44_1(raw),SA47_1(raw),SA50_1(raw),SA55_1(raw),SA60_1(raw),SA69_1(raw),SA75_1(raw),SA84_1(raw),SA93_1(raw),SA96_1(raw),SA99_1(raw),SA14_1(raw),SA19_1(raw),SA54_1(raw),SA59_1(raw),SA65_1(raw),SA68_1(raw),SA74_1(raw),SA80_1(raw),SA83_1(raw),SA89_1(raw),SA92_1(raw),SA104_1(raw),SA13_1(raw),SA18_1(raw),SA53_1(raw),SA58_1(raw),SA64_1(raw),SA67_1(raw),SA73_1(raw),SA79_1(raw),SA82_1(raw),SA88_1(raw),SA91_1(raw),SA103_1(raw),SA63_1(raw),SA66_1(raw),SA72_1(raw),SA78_1(raw),SA81_1(raw),SA87_1(raw),SA90_1(raw),SA102_1(raw),Mass,Retention Time,Frequency
495.333@20.366917,6.11E+07,1.28E+08,1.16E+08,1.51E+08,1.46E+08,1.63E+08,1.33E+08,1.99E+08,1.40E+08,1.12E+08,1.04E+08,1.51E+08,1.87E+08,2.11E+08,1.61E+08,1.19E+08,1.61E+08,1.54E+08,1.32E+08,7.54E+07,9.63E+07,1.66E+08,1.28E+08,1.91E+08,1.63E+08,1.12E+08,1.69E+08,1.43E+07,6.88E+07,9.87E+07,1.15E+08,1.73E+08,1.28E+08,1.34E+08,1.40E+08,1.74E+08,1.65E+08,1.27E+08,1.66E+08,1.00E+08,1.26E+08,7.83E+07,3.15E+07,1.57E+08,1.50E+08,8.10E+07,1.72E+08,1.65E+08,1.63E+08,1.55E+08,1.30E+08,1.71E+08,1.31E+08,1.46E+08,1.46E+08,1.69E+08,1.62E+08,1.44E+08,1.45E+08,1.64E+08,1.47E+08,6.78E+07,1.37E+08,1.65E+08,8.13E+07,1.55E+08,1.47E+08,1.62E+08,1.83E+08,1.73E+08,1.07E+08,1.71E+08,7.26E+07,1.83E+08,1.32E+08,1.34E+08,1.52E+08,1.39E+08,1.20E+08,1.61E+08,7.97E+07,1.13E+08,1.05E+08,1.22E+08,1.28E+08,1.13E+08,1.70E+08,1.75E+08,1.86E+08,1.60E+08,1.57E+08,1.51E+08,1.47E+08,1.31E+08,1.77E+08,1.55E+08,1.51E+08,1.85E+08,1.50E+08,1.23E+08,1.86E+08,1.09E+08,1.56E+08,1.31E+08,495.333,20.366917,104
253.0522@12.187475,22715,3170651,176676,132990,792,5453388,1.47E+08,1.53E+08,47945,5.16E+07,4.62E+07,3.54E+07,1.33E+08,6080560,7.59E+07,1.47E+08,13844,710619,8.87E+07,1752209,111958,1.71E+08,3.81E+07,8.73E+07,1.51E+07,105370,3.74E+07,94822,1.00E+08,8558,5.87E+07,179202,1472167,37685,586687,3.79E+07,74036,1.51E+07,2.97E+07,1.29E+08,1.04E+08,256197,2137307,265398,97362,1.63E+08,6.72E+07,161224,7118139,75199,4.74E+07,10350,18259,1,11869,39517,1.66E+07,27506,5.41E+07,871,13781,4.86E+07,6085108,3090,9.01E+07,1.60E+08,598,1.34E+08,1.27E+08,2146774,2962347,338581,2141908,5015743,10534,1.90E+08,37863,165747,16293,210412,1.67E+07,2.04E+07,1.40E+08,9097190,7316032,118148,8094,7727463,72710,1.58E+08,232810,83174,208842,6.35E+07,1.05E+08,1.52E+08,30687,8661,153442,7.52E+07,136917,1813606,1.36E+07,89138,253.0522,12.187475,103
165.0786@4.2612495,3.79E+07,3.29E+07,4.89E+07,7.24E+07,5.70E+07,5.30E+07,5.61E+07,1.06E+08,7.26E+07,4.87E+07,7.84E+07,4.94E+07,5.22E+07,4.22E+07,4.20E+07,7.34E+07,5.52E+07,5.70E+07,7.63E+07,5.63E+07,6.49E+07,1.22E+08,3.91E+07,5.91E+07,9.12E+07,4.33E+07,4.91E+07,6.93E+07,4.16E+07,3.46E+07,3.66E+07,4.25E+07,1.94E+07,2.33E+07,3.00E+07,4.00E+07,5.60E+07,2.62E+07,4.32E+07,4.72E+07,4.58E+07,5.03E+07,4.50E+07,5.90E+07,4.20E+07,5.13E+07,6.66E+07,5.35E+07,6.74E+07,6.68E+07,8.51E+07,6.10E+07,4.63E+07,7.61E+07,4.78E+07,7.81E+07,7.76E+07,8.22E+07,7.85E+07,8.10E+07,6.57E+07,7.47E+07,7.98E+07,8.38E+07,8.36E+07,1.43E+08,8.08E+07,1.38E+08,8.12E+07,9.59E+07,8.00E+07,1.39E+08,4.45E+07,6.68E+07,4.95E+07,6.94E+07,4.21E+07,5.35E+07,3.45E+07,6.23E+07,4.47E+07,3.60E+07,3.29E+07,5.73E+07,3.58E+07,3.42E+07,5.52E+07,1.06E+08,7.96E+07,6.41E+07,7.56E+07,4.64E+07,5.79E+07,4.38E+07,5.17E+07,5.82E+07,8.55E+07,7.82E+07,8.76E+07,1.88E+08,6.48E+07,1.00E+08,9.65E+07,5.56E+07,165.0786,4.2612495,104
165.1627@4.2639275,969371,747366,1122110,2540127,1819235,1558828,1768176,4064367,1,1410736,2855469,1470065,1508509,1031890,1017477,2578800,1711824,1788667,1,1,2164675,5335465,934856,1758953,3042224,1094452,1320993,1,1065344,695712,764102,1,398431,488398,642760,966813,1164196,541148,906371,1278477,1053420,1,1093161,1582329,1030496,1466243,1943724,1468078,1940027,2229962,1,1812684,964164,1,1334100,2481925,1912774,2512337,2396251,1,2121860,1,2082296,2915009,1,5895185,1,1,1,2905856,2558928,1,1227790,1873200,1450193,2382979,1043832,1622721,833292,2055522,1222248,771375,808042,1827782,838240,579737,1423285,4140188,2552560,1851510,1959521,1247760,1,1109485,1285613,1754693,2965413,1,1,1,1645118,1,3452978,1429798,165.1627,4.2639275,84
204.0899@6.209617,3.52E+07,3.05E+07,3.95E+07,7.63E+07,5.73E+07,4.20E+07,6.31E+07,5.44E+07,5.95E+07,9919231,4.77E+07,6.82E+07,4.62E+07,5.07E+07,3.12E+07,6.66E+07,6.02E+07,5.22E+07,6.05E+07,3.85E+07,5.32E+07,3.93E+07,1.19E+07,4.21E+07,5.37E+07,3.73E+07,6.60E+07,5.20E+07,3.57E+07,1.23E+07,3.34E+07,4.00E+07,9714684,1.47E+07,2.31E+07,4.25E+07,5.18E+07,1.12E+07,2.94E+07,3.37E+07,2.02E+07,3.18E+07,5.11E+07,4.95E+07,3.57E+07,3.35E+07,4.57E+07,4.14E+07,4.95E+07,5.31E+07,6.81E+07,6.48E+07,3.64E+07,5.28E+07,3.65E+07,7.31E+07,4.68E+07,3.39E+07,4.84E+07,5.50E+07,4.68E+07,4.27E+07,3.70E+07,5.35E+07,6.22E+07,4.97E+07,6.02E+07,4.65E+07,5.08E+07,4.62E+07,3.84E+07,5.43E+07,3.21E+07,5.69E+07,5.32E+07,5.67E+07,3.60E+07,4.43E+07,1.53E+07,4.48E+07,1.84E+07,2.57E+07,9037294,4.37E+07,3.26E+07,1.91E+07,4.21E+07,9.87E+07,7.04E+07,5.03E+07,4.92E+07,4.64E+07,4.74E+07,4.06E+07,4.24E+07,5.33E+07,5.23E+07,5.44E+07,4.43E+07,3.37E+07,4.18E+07,6.14E+07,7.30E+07,3.49E+07,204.0899,6.209617,104
131.0942@2.380874,6.42E+07,6.93E+07,6.94E+07,1.28E+08,9.46E+07,1.21E+08,1.12E+08,8.32E+07,8.86E+07,4.81E+07,8.20E+07,9.13E+07,7.42E+07,1.03E+08,1,1.15E+08,1.02E+08,9.97E+07,1.07E+08,6.54E+07,1.00E+08,8.34E+07,6.76E+07,9.08E+07,1.29E+08,8.77E+07,1.01E+08,1.03E+08,5.70E+07,4.91E+07,5.74E+07,7.53E+07,1.32E+07,3.48E+07,3.93E+07,7.65E+07,8.59E+07,5.55E+07,5.80E+07,8.32E+07,5.79E+07,7.44E+07,6.40E+07,8.40E+07,7.80E+07,6.98E+07,9.32E+07,8.98E+07,1.31E+08,1.13E+08,1.12E+08,1.08E+08,6.68E+07,9.92E+07,8.82E+07,1.53E+08,1.19E+08,1.17E+08,1.01E+08,9.71E+07,1.07E+08,9.40E+07,1.14E+08,1.57E+08,1.36E+08,1.54E+08,1.85E+08,9.49E+07,1.07E+08,1.25E+08,9.52E+07,9.88E+07,5.31E+07,1.07E+08,6.69E+07,9.63E+07,6.74E+07,1.01E+08,7.41E+07,9.23E+07,9.23E+07,4.01E+07,5.48E+07,9.19E+07,5.44E+07,5.48E+07,8.92E+07,1.20E+08,1.10E+08,9.09E+07,1.07E+08,7.70E+07,7.65E+07,8.70E+07,9.86E+07,8.37E+07,1.58E+08,1.25E+08,1.01E+08,8.08E+07,7.80E+07,1.13E+08,1.67E+08,7.56E+07,131.0942,2.380874,103
292.0914@0.9154837,4627,1,12112,2025,395,11365,4532,1,11311,1.26E+08,1.36E+08,1.09E+08,1,1,1.10E+08,1.09E+08,1,194,1306,1,5829,1934,1.10E+08,1,8.57E+07,1.16E+08,8.57E+07,8.98E+07,1.14E+08,1.18E+08,1.03E+08,1.03E+08,1.11E+08,1.01E+08,1.11E+08,9.85E+07,1.03E+08,1.06E+08,9.79E+07,1.01E+08,9.30E+07,9.34E+07,1.11E+08,9.49E+07,9.13E+07,1.05E+08,9.86E+07,9.47E+07,1,1,1,1,1,1.02E+08,1,1,1,1,1,1,17060,1,1,1,1,1,1,1,1,1,4051,1,1.32E+08,1,1,1,1,1,1.00E+08,5596,1.23E+08,1.14E+08,1.17E+08,1,9.97E+07,1.19E+08,9.96E+07,1,8.93E+07,9.16E+07,8.72E+07,1.06E+08,1.16E+08,1.13E+08,8.78E+07,9.73E+07,1,1,10550,1,1,1,1,1,292.0914,0.9154837,62
521.3496@20.63106,1819900,5.80E+07,2891857,8.72E+07,7493829,9.74E+07,5011129,8.12E+07,6004919,2.94E+07,3.76E+07,7749417,1.15E+07,1.14E+08,7637844,4493401,5.51E+07,5.98E+07,7.95E+07,1.74E+07,9251002,6.67E+07,4828470,9.98E+07,5.05E+07,3.06E+07,8.09E+07,1.12E+08,2626456,3.51E+07,1879037,8672832,4411471,3736340,5377869,5240907,7243695,5.00E+07,1.83E+07,5.04E+07,4200375,8.58E+07,5.10E+07,3522390,2543656,8826009,6461051,4.91E+07,7.15E+07,7.18E+07,5.27E+07,6175796,6020531,4287678,5.33E+07,6.44E+07,7.50E+07,7.54E+07,4.31E+07,5485002,4.57E+07,5.17E+07,4.32E+07,4059227,6.60E+07,4.21E+07,5347667,5.39E+07,5559697,5.67E+07,4.69E+07,8.14E+07,3104136,7.73E+07,5074044,3.95E+07,1.43E+07,4.80E+07,3.80E+07,1.56E+07,2.17E+07,4392081,3827440,4.45E+07,3.33E+07,2468815,6021778,9886977,1.33E+07,9.57E+07,8237929,7608051,4.39E+07,5.63E+07,9.45E+07,4.76E+07,7661619,1.13E+07,7481842,3.89E+07,9096276,8261986,4.83E+07,3793684,521.3496,20.63106,104
362.1465@2.8025992,3.24E+07,2.21E+07,3.03E+07,1583114,5.02E+07,4.42E+07,5.01E+07,3.94E+07,1165074,1.54E+07,4.28E+07,1280821,4.70E+07,1,3.02E+07,7.14E+07,5.67E+07,4.34E+07,5.07E+07,3.14E+07,4.79E+07,3.86E+07,1.36E+07,3.65E+07,7.03E+07,2.90E+07,4.94E+07,3.83E+07,9799442,9564169,2.47E+07,2.24E+07,7753059,1.19E+07,1.89E+07,3.88E+07,5.12E+07,1.09E+07,1.95E+07,3.43E+07,1.82E+07,3.04E+07,2.53E+07,3.66E+07,2.46E+07,2.30E+07,4.28E+07,3.25E+07,2.85E+07,3.56E+07,5.31E+07,2.34E+07,2.32E+07,5.53E+07,1.93E+07,4.06E+07,2.46E+07,1,5.34E+07,3.12E+07,5.15E+07,4.55E+07,3.40E+07,4.33E+07,5.05E+07,1,5.37E+07,3.28E+07,3.29E+07,4.63E+07,3.84E+07,5.38E+07,2.86E+07,5.10E+07,3.89E+07,4.42E+07,2.10E+07,4.13E+07,1.41E+07,3.95E+07,1,2.40E+07,9691374,3.49E+07,1.90E+07,1.55E+07,2.67E+07,7.85E+07,4.18E+07,3.80E+07,4.70E+07,4.00E+07,3.02E+07,3.31E+07,2.95E+07,5.48E+07,638766,4.20E+07,3.31E+07,4.22E+07,1.17E+07,4.04E+07,1818246,2.08E+07,362.1465,2.8025992,100
291.1004@0.903896,48798,41545,61938,43336,38599,94902,43956,39509,36222,1.26E+08,1.35E+08,1.08E+08,39835,1,1.10E+08,1.13E+08,1,1,32575,35878,49548,62410,1.11E+08,1,8.93E+07,1.05E+08,8.58E+07,8.91E+07,1.03E+08,8.78E+07,1.03E+08,1.02E+08,1.15E+08,1.01E+08,1.10E+08,9.84E+07,9.18E+07,1.08E+08,1.00E+08,9.21E+07,9.13E+07,8.83E+07,1.11E+08,9.43E+07,9.20E+07,9.42E+07,9.71E+07,8.77E+07,1,29997,27652,62633,1,9.74E+07,1,3440,1,1,94005,1,1,1,1,64925,71010,1,3620,1,53274,1,33577,1,1.16E+08,42767,46555,1,35823,46009,9.22E+07,51195,1.18E+08,1.06E+08,1.18E+08,1,9.63E+07,1.17E+08,8.94E+07,1,8.25E+07,9.07E+07,8.35E+07,9.51E+07,1.15E+08,1.04E+08,8.71E+07,9.79E+07,1,1,1,33794,1,1,1,1,291.1004,0.903896,77
